STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	AG_ARRST	JURFLAG	COVIND	GRNDTOT	P1TOT	P1VLNT	P1PRPTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON	OTHASLT	FRGYCNT	FRAUD	EMBEZL	STLNPRP	VANDLSM	WEAPONS	COMVICE	SEXOFF	DRUGTOT	DRGSALE	COCSALE	MJSALE	SYNSALE	OTHSALE	DRGPOSS	COCPOSS	MJPOSS	SYNPOSS	OTHPOSS	GAMBLE	BOOKMKG	NUMBERS	OTGAMBL	OFAGFAM	DUI	LIQUOR	DRUNK	DISORDR	VAGRANT	ALLOTHR	SUSPICN	CURFEW	RUNAWAY
9999	1	2	1	1	1	57217	3	1	0	921	259	21	239	1	1	9	11	8	227	3	0	116	5	17	4	9	4	7	0	0	61	0	0	0	0	0	60	7	30	1	22	0	0	0	0	0	84	21	67	10	3	254	0	0	0
9999	1	2	2	1	3	198843	14	0	10.4765	4270	718	81	638	1	2	24	54	37	585	13	3	428	11	56	6	42	13	24	0	14	101	0	0	0	0	0	100	12	50	1	37	0	0	0	0	5	426	78	237	29	6	2076	0	0	0
9999	1	2	3	1	5	27026	5	0	32.4354	411	121	14	107	0	0	5	8	12	95	1	0	62	2	7	2	4	2	3	0	0	25	0	0	0	0	0	25	3	12	0	9	0	0	0	0	0	35	9	28	5	1	107	0	0	0
9999	1	2	4	1	7	22491	4	1	27.9504	243	68	13	55	0	0	4	8	4	47	5	0	43	2	2	3	3	3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	1	8	0	89	0	0	0
9999	1	2	5	1	9	58037	6	0	7.3561	794	77	3	74	0	0	0	3	1	71	1	0	56	0	23	0	0	8	4	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	0	2	52	51	23	0	0	496	0	0	0
9999	1	2	6	1	11	10586	2	0	53.078	154	32	15	17	0	0	4	11	4	9	2	2	38	6	6	0	6	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	7	9	0	28	0	0	0
9999	1	2	7	1	13	20119	4	1	34.8265	891	257	51	206	0	8	9	35	18	180	8	0	145	4	63	0	7	10	6	0	0	4	0	0	0	0	0	4	0	2	0	1	0	0	0	0	10	31	5	24	29	0	295	0	0	0
9999	1	2	8	1	15	120338	9	1	14.1583	2298	473	60	413	2	2	24	33	36	364	12	0	264	16	52	5	23	18	14	0	1	74	0	0	0	0	0	74	9	37	1	27	0	0	0	0	2	185	115	127	20	4	906	0	0	0
9999	1	2	9	1	17	34195	4	0	20.6677	1261	187	36	151	3	3	8	21	23	127	1	0	144	10	31	2	22	8	15	0	3	27	0	0	0	0	0	26	3	13	0	10	0	0	0	0	8	103	11	65	15	1	610	0	0	0
9999	1	2	10	1	19	26257	4	1	13.1524	472	110	4	106	1	0	0	3	7	94	4	0	48	10	36	4	15	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	25	7	14	5	0	187	0	0	0
9999	1	2	11	1	21	43934	5	0	6.174	518	72	6	66	0	0	2	4	3	62	1	0	56	1	6	1	4	1	3	0	0	15	0	0	0	0	0	15	2	7	0	5	0	0	0	0	2	48	15	43	8	1	243	0	0	0
9999	1	2	12	1	23	13331	3	0	49.2124	181	31	10	21	0	0	0	10	12	7	0	2	17	4	16	2	6	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	14	4	0	49	0	0	0
9999	1	2	13	1	25	25080	4	0	59.6903	407	96	53	43	0	2	25	25	4	37	1	0	48	1	8	1	3	10	12	0	1	8	0	0	0	0	0	8	1	4	0	3	0	0	0	0	3	65	4	17	6	0	124	0	0	0
9999	1	2	14	1	27	13396	3	0	68.7512	421	65	27	38	0	1	0	26	16	20	2	0	91	4	14	0	8	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	5	17	7	0	153	0	0	0
9999	1	2	15	1	29	15009	3	0	1.3492	117	29	2	27	0	0	1	1	5	22	0	0	15	1	12	0	1	0	1	0	0	6	0	0	0	0	0	6	1	3	0	2	0	0	0	0	0	8	2	6	1	0	35	0	0	0
9999	1	2	16	1	31	51644	5	1	8.7414	1070	246	21	225	0	2	7	12	10	209	6	0	160	8	15	3	11	6	7	0	3	47	0	0	0	0	0	46	6	23	0	17	0	0	0	0	0	90	19	66	18	2	370	0	0	0
9999	1	2	17	1	33	54556	8	0	37.7739	1751	354	36	318	3	0	2	31	34	279	6	0	220	0	7	11	10	7	24	0	0	12	3	3	0	0	0	9	6	0	0	3	0	0	0	0	2	259	36	213	40	0	556	0	0	0
9999	1	2	18	1	35	12806	3	0	34.4344	371	52	10	41	0	0	3	7	9	32	0	0	61	4	4	0	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	23	5	0	194	0	0	0
9999	1	2	19	1	37	10745	2	0	63.4768	388	64	8	56	0	0	2	5	25	26	3	2	44	2	11	0	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	32	2	8	11	0	208	0	0	0
