STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	SPOPARST	SPOPCRIM	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	SVIOL	SPROPERTY	SMURDER	SRAPE	SROBBERY	SAGASSLT	SBURGLRY	SLARCENY	SMVTHEFT	SARSON
9999	1	8	1	1	1	4849377	4657443	54579	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	2	1	3	4849377	4657443	193083	14	13	96.0428	0	0	0	0	0	0	0	0	0	0
9999	1	8	3	1	5	4849377	4657443	25154	5	4	96.0536	0	0	0	0	0	0	0	0	0	0
9999	1	8	4	1	7	4849377	4657443	21175	4	5	98.9359	0	0	0	0	0	0	0	0	0	0
9999	1	8	5	1	9	4849377	4657443	58037	6	6	98.4949	0	0	0	0	0	0	0	0	0	0
9999	1	8	6	1	11	4849377	4657443	10586	2	2	96.922	0	0	0	0	0	0	0	0	0	0
9999	1	8	7	1	13	4849377	4657443	20111	4	4	98.1279	0	0	0	0	0	0	0	0	0	0
9999	1	8	8	1	15	4849377	4657443	116381	9	10	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	9	1	17	4849377	4657443	34195	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	10	1	19	4849377	4657443	26278	4	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	11	1	21	4849377	4657443	43934	5	5	94.8273	0	0	0	0	0	0	0	0	0	0
9999	1	8	12	1	23	4849377	4657443	12689	3	2	92.8678	0	0	0	0	0	0	0	0	0	0
9999	1	8	13	1	25	4849377	4657443	24739	4	4	77.4021	0	0	0	0	0	0	0	0	0	0
9999	1	8	14	1	27	4849377	4657443	13396	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	15	1	29	4849377	4657443	15009	3	3	89.041	0	0	0	0	0	0	0	0	0	0
9999	1	8	16	1	31	4849377	4657443	51160	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	17	1	33	4849377	4657443	54556	8	8	99.8477	0	0	0	0	0	0	0	0	0	0
9999	1	8	18	1	35	4849377	4657443	12242	3	4	87.2189	0	0	0	0	0	0	0	0	0	0
9999	1	8	19	1	37	4849377	4657443	10294	2	2	94.4507	0	0	0	0	0	0	0	0	0	0
9999	1	8	20	1	39	4849377	4657443	37446	9	8	83.1609	0	0	0	0	0	0	0	0	0	0
9999	1	8	21	1	41	4849377	4657443	13497	4	3	96.9956	0	0	0	0	0	0	0	0	0	0
9999	1	8	22	1	43	4849377	4657443	80950	3	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	23	1	45	4849377	4657443	49800	10	12	96.543	0	0	0	0	0	0	0	0	0	0
9999	1	8	24	1	47	4849377	4657443	41573	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	25	1	49	4849377	4657443	56890	14	13	98.5383	0	0	0	0	0	0	0	0	0	0
9999	1	8	26	1	51	4849377	4657443	81302	7	7	99.7472	0	0	0	0	0	0	0	0	0	0
9999	1	8	27	1	53	4849377	4657443	37923	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	28	1	55	4849377	4657443	103851	11	10	97.6848	0	0	0	0	0	0	0	0	0	0
9999	1	8	29	1	57	4849377	4657443	16835	3	4	77.8631	0	0	0	0	0	0	0	0	0	0
9999	1	8	30	1	59	4849377	4657443	31495	5	5	96.781	0	0	0	0	0	0	0	0	0	0
9999	1	8	31	1	61	4849377	4657443	26727	5	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	32	1	63	4849377	4657443	8076	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	33	1	65	4849377	4657443	12907	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	34	1	67	4849377	4657443	16780	4	4	99.993	0	0	0	0	0	0	0	0	0	0
9999	1	8	35	1	69	4849377	4657443	104205	9	9	87.0333	0	0	0	0	0	0	0	0	0	0
9999	1	8	36	1	71	4849377	4657443	51422	7	7	98.0451	0	0	0	0	0	0	0	0	0	0
9999	1	8	37	1	73	4849377	4657443	629215	31	29	95.6406	0	0	0	0	0	0	0	0	0	0
9999	1	8	38	1	75	4849377	4657443	14179	5	4	90.6152	0	0	0	0	0	0	0	0	0	0
9999	1	8	39	1	77	4849377	4657443	92591	8	7	95.0339	0	0	0	0	0	0	0	0	0	0
